"Transaction ID"	"Account ID"	"Symbol ID"	"ISIN"	"Operation type"	"When"	"Sum"	"Asset"	"EUR equivalent"	"Comment"	"UUID"	"Parent UUID"
"362877035"	"UYS2073.001"	"IJS.ARCA"	"None"	"DIVIDEND"	"2022-06-09 16:37:21"	"1.71"	"USD"	"1.61"	"6 shares ExD 2022-06-09 PD 2022-06-15 dividend IJS.ARCA 1.71 USD (0.283479 per share) tax -0.52 USD (-30.00%) DivCntry US"	"e0eceb92-8671-48d3-8ea4-678fe49e672a"	"None"
"362876781"	"UYS2073.001"	"IUSV.NASDAQ"	"None"	"TAX"	"2022-06-09 16:37:09"	"-1.38"	"USD"	"-1.3"	"15 shares ExD 2022-06-09 PD 2022-06-15 dividend IUSV.NASDAQ 4.58 USD (0.305177 per share) tax -1.38 USD (-30.00%) DivCntry US"	"198a6a64-2300-479d-a3b0-f9b80ed2cc7a"	"1e415f5f-dafb-4c18-9652-6a23e2f18d75"
"362876774"	"UYS2073.001"	"IUSV.NASDAQ"	"None"	"DIVIDEND"	"2022-06-09 16:37:09"	"4.58"	"USD"	"4.3"	"15 shares ExD 2022-06-09 PD 2022-06-15 dividend IUSV.NASDAQ 4.58 USD (0.305177 per share) tax -1.38 USD (-30.00%) DivCntry US"	"1e415f5f-dafb-4c18-9652-6a23e2f18d75"	"None"
"362554478"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-09 03:00:28"	"-0.29"	"USD"	"-0.27"	"-981.45 USD (cash -981.45 P/L 0.00 margin 0.00) from 2022-06-10 till 2022-06-13"	"a02593f9-c443-4605-a0df-1b2ed9254f19"	"None"
"362554476"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-09 03:00:28"	"-1.91"	"EUR"	"-1.91"	"-9187.37 EUR (cash -9187.37 P/L 0.00 margin 0.00) from 2022-06-10 till 2022-06-13"	"a630a843-4f7a-49d8-9d15-0bfe79a064b8"	"None"
"362087126"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-08 03:00:32"	"-0.1"	"USD"	"-0.09"	"-981.35 USD (cash -981.35 P/L 0.00 margin 0.00) from 2022-06-09 till 2022-06-10"	"df6a2f83-4ae1-4e53-accb-e339d6bd832f"	"None"
"362087125"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-08 03:00:32"	"-0.64"	"EUR"	"-0.64"	"-9186.73 EUR (cash -9186.73 P/L 0.00 margin 0.00) from 2022-06-09 till 2022-06-10"	"689a7f96-f77d-4aa2-9c05-9842bf98470d"	"None"
"361664047"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-07 03:00:26"	"-0.1"	"USD"	"-0.09"	"-981.25 USD (cash -981.25 P/L 0.00 margin 0.00) from 2022-06-08 till 2022-06-09"	"3997b7ac-53dd-48ef-9742-e872bae86fa4"	"None"
"361664046"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-07 03:00:26"	"-0.64"	"EUR"	"-0.64"	"-9186.09 EUR (cash -9186.09 P/L 0.00 margin 0.00) from 2022-06-08 till 2022-06-09"	"de512f93-9a38-4af8-9a5b-f8b78475a744"	"None"
"361212686"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-06 03:00:28"	"-0.1"	"USD"	"-0.09"	"-981.15 USD (cash -981.15 P/L 0.00 margin 0.00) from 2022-06-07 till 2022-06-08"	"4f6527ac-e815-4adb-89b4-14681b8f8344"	"None"
"361212685"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-06 03:00:28"	"-0.64"	"EUR"	"-0.64"	"-9185.45 EUR (cash -9185.45 P/L 0.00 margin 0.00) from 2022-06-07 till 2022-06-08"	"fbc0c8de-cefc-4c95-ad84-aafb840b48c0"	"None"
"360767570"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-03 03:00:26"	"-0.1"	"USD"	"-0.09"	"-981.05 USD (cash -981.05 P/L 0.00 margin 0.00) from 2022-06-06 till 2022-06-07"	"76d38d2a-074b-4295-8a9a-279abbc24c45"	"None"
"360767569"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-03 03:00:26"	"-0.64"	"EUR"	"-0.64"	"-9184.81 EUR (cash -9184.81 P/L 0.00 margin 0.00) from 2022-06-06 till 2022-06-07"	"1815c794-4b0d-40bd-bfc2-f43e4100bc61"	"None"
"360249372"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-02 03:00:29"	"-0.29"	"USD"	"-0.27"	"-980.76 USD (cash -980.76 P/L 0.00 margin 0.00) from 2022-06-03 till 2022-06-06"	"9f727520-8d63-4b0c-ac2a-deb757968add"	"None"
"360249371"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-02 03:00:29"	"-1.91"	"EUR"	"-1.91"	"-9182.90 EUR (cash -9182.90 P/L 0.00 margin 0.00) from 2022-06-03 till 2022-06-06"	"b449642f-0d09-4660-a185-e2ed151a1156"	"None"
"359698984"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-01 03:00:27"	"-0.1"	"USD"	"-0.09"	"-980.66 USD (cash -980.66 P/L 0.00 margin 0.00) from 2022-06-02 till 2022-06-03"	"8de34ff7-da46-45f9-9d83-27b029f5b59c"	"None"
"359698983"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-01 03:00:27"	"-0.64"	"EUR"	"-0.64"	"-9182.26 EUR (cash -9182.26 P/L 0.00 margin 0.00) from 2022-06-02 till 2022-06-03"	"fc99ad68-eba3-4282-a94c-dcd8a0972c06"	"None"
"359160677"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-31 03:00:28"	"-0.1"	"USD"	"-0.09"	"-980.56 USD (cash -980.56 P/L 0.00 margin 0.00) from 2022-06-01 till 2022-06-02"	"3d28c898-f7c9-40f8-b422-cbf950e4f0db"	"None"
"359160676"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-31 03:00:28"	"-0.64"	"EUR"	"-0.64"	"-9181.62 EUR (cash -9181.62 P/L 0.00 margin 0.00) from 2022-06-01 till 2022-06-02"	"41d0ad41-2f11-401b-a30d-96932ed71726"	"None"
"359081535"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-30 03:00:23"	"-0.64"	"EUR"	"-0.64"	"-9180.98 EUR (cash -9180.98 P/L 0.00 margin 0.00) from 2022-05-31 till 2022-06-01"	"b7e8dfda-75d5-4a95-9bb9-271e45537ccd"	"None"
"358739669"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-27 03:00:25"	"-0.1"	"USD"	"-0.09"	"-980.46 USD (cash -980.46 P/L 0.00 margin 0.00) from 2022-05-31 till 2022-06-01"	"e8b828cf-d0e1-42c7-b8f5-02e6a8d9b48c"	"None"
"358739668"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-27 03:00:25"	"-0.64"	"EUR"	"-0.64"	"-9180.34 EUR (cash -9180.34 P/L 0.00 margin 0.00) from 2022-05-30 till 2022-05-31"	"97bbd178-477d-4755-89a3-20cdb66b841d"	"None"
"358359806"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-26 03:00:26"	"-0.38"	"USD"	"-0.36"	"-980.08 USD (cash -980.08 P/L 0.00 margin 0.00) from 2022-05-27 till 2022-05-31"	"a15fda04-3c50-43cd-8681-92d3010b7bb8"	"None"
